trade_id,season,trade_date,gave,received,pick_season,pick_round,pick_number,conditional,pfr_id,pfr_name
701,2002,3/4/02,HOU,WAS,NA,NA,NA,NA,WuerDa00,Danny Wuerffel
701,2002,3/4/02,WAS,HOU,NA,NA,NA,NA,DeLoJe20,Jerry DeLoach
702,2002,3/8/02,MIA,NO,2002,1,25,0,GranCh21,Charles Grant
702,2002,3/8/02,MIA,NO,2002,4,125,0,CravKe20,Keyuo Craver
702,2002,3/8/02,MIA,NO,2003,1,18,0,PaceCa20,Calvin Pace
702,2002,3/8/02,NO,MIA,NA,NA,NA,NA,WillRi00,Ricky Williams
702,2002,3/8/02,NO,MIA,2002,4,114,0,McMiRa01,Ry McMichael
703,2002,3/11/02,CLE,MIA,2004,NA,NA,1,NA,NA
703,2002,3/11/02,MIA,CLE,NA,NA,NA,NA,JohnJ.00,J.J. Johnson
704,2002,3/11/02,GB,NE,2002,4,126,0,GreeJa21,Jarvis Green
704,2002,3/11/02,NE,GB,NA,NA,NA,NA,GlenTe00,Terry Glenn
705,2002,3/27/02,KC,NO,2003,3,78,0,SmitWa21,Wade Smith
705,2002,3/27/02,NO,KC,NA,NA,NA,NA,RoafWi00,Willie Roaf
706,2002,3/28/02,HOU,STL,2003,NA,NA,1,NA,NA
706,2002,3/28/02,STL,HOU,NA,NA,NA,NA,ShepJa20,Jacoby Shepherd
707,2002,4/9/02,NYJ,WAS,NA,NA,NA,NA,LoveDa20,David Loverne
707,2002,4/9/02,NYJ,WAS,2002,5,160,0,RoyaRo00,Robert Royal
707,2002,4/9/02,WAS,NYJ,2002,5,154,0,GoodJo23,Jonathan Goodwin
708,2002,4/15/02,IND,STL,NA,NA,NA,NA,WilkTe00,Terrence Wilkins
708,2002,4/15/02,STL,IND,2002,6,183,0,NA,NA
708,2002,4/15/02,STL,IND,NA,NA,NA,NA,NA,James Lewis
709,2002,4/18/02,BUF,HOU,NA,NA,NA,NA,ForeJa20,Jay Foreman
709,2002,4/18/02,HOU,BUF,NA,NA,NA,NA,RogeCh00,Charlie Rogers
710,2002,4/19/02,IND,SEA,2002,5,146,0,BernRo20,Rocky Bernard
710,2002,4/19/02,SEA,IND,NA,NA,NA,NA,HuarBr00,Brock Huard
711,2002,4/20/02,DAL,KC,2002,1,6,0,SimsRy20,Ryan Sims
711,2002,4/20/02,KC,DAL,2002,1,8,0,WillRo03,Roy Williams
711,2002,4/20/02,KC,DAL,2002,3,75,0,RossDe20,Derek Ross
711,2002,4/20/02,KC,DAL,2003,6,186,0,SmitZu00,Zuriel Smith
712,2002,4/20/02,NYG,TEN,2002,1,15,0,HaynAl20,Albert Haynesworth
712,2002,4/20/02,NYG,TEN,2002,4,110,0,EchoMi20,Mike Echols
712,2002,4/20/02,TEN,NYG,2002,1,14,0,ShocJe00,Jeremy Shockey
713,2002,4/20/02,OAK,WAS,2002,1,21,0,GrahDa00,Daniel Graham
713,2002,4/20/02,OAK,WAS,2002,3,89,0,AyodAk20,Akin Ayodele
713,2002,4/20/02,WAS,OAK,2002,1,18,0,DuckT.00,T.J. Duckett
714,2002,4/20/02,ATL,OAK,2002,1,17,0,BuchPh20,Phillip Buchanon
714,2002,4/20/02,OAK,ATL,2002,1,18,0,DuckT.00,T.J. Duckett
714,2002,4/20/02,OAK,ATL,2002,5,158,0,KittKu00,Kurt Kittner
715,2002,4/20/02,GB,SEA,2002,1,28,0,StevJe00,Jerramy Stevens
715,2002,4/20/02,GB,SEA,2002,2,60,0,PaleAn20,Anton Palepoi
715,2002,4/20/02,SEA,GB,2002,1,20,0,WalkJa00,Javon Walker
715,2002,4/20/02,SEA,GB,2002,5,156,0,KampAa99,Aaron Kampman
716,2002,4/20/02,NE,WAS,2002,1,32,0,RamsPa00,Patrick Ramsey
716,2002,4/20/02,NE,WAS,2002,3,96,0,DaviDo23,Dorsett Davis
716,2002,4/20/02,NE,WAS,2002,7,234,0,ScotGr20,Greg Scott
716,2002,4/20/02,WAS,NE,2002,1,21,0,GrahDa00,Daniel Graham
717,2002,4/20/02,BAL,WAS,2002,2,56,0,BettLa00,Ladell Betts
717,2002,4/20/02,BAL,WAS,2002,3,87,0,RussCl00,Cliff Russell
717,2002,4/20/02,BAL,WAS,2002,5,159,0,LottAn20,Andre Lott
717,2002,4/20/02,WAS,BAL,2002,2,52,0,WeavAn20,Anthony Weaver
717,2002,4/20/02,WAS,BAL,2002,3,96,0,DaviDo23,Dorsett Davis
718,2002,4/20/02,BUF,SF,2002,3,69,0,RashSa20,Saleem Rasheed
718,2002,4/20/02,BUF,SF,2002,4,102,0,chandjef01,Jeff Chandler
718,2002,4/20/02,SF,BUF,2002,2,61,0,DennRy20,Ryan Denney
719,2002,4/20/02,CHI,DAL,2002,2,63,0,BryaAn00,Antonio Bryant
719,2002,4/20/02,CHI,DAL,2002,4,129,0,MartJa01,Jamar Martin
719,2002,4/20/02,DAL,CHI,2002,3,72,0,WillRo26,Roosevelt Williams
719,2002,4/20/02,DAL,CHI,2002,4,104,0,BrowAl20,Alex Brown
719,2002,4/20/02,DAL,CHI,2002,5,140,0,GrayBo20,Bobby Gray
720,2002,4/20/02,CAR,CIN,2002,3,67,0,SchoMa00,Matt Schobel
720,2002,4/20/02,CIN,CAR,2002,3,73,0,WithWi20,Will Witherspoon
720,2002,4/20/02,CIN,CAR,2002,5,145,0,JohnKy00,Kyle Johnson
721,2002,4/20/02,CLE,JAX,NA,NA,NA,NA,RainWa20,Wali Rainer
721,2002,4/20/02,CLE,JAX,2002,3,79,0,BaumRa20,Rashad Bauman
721,2002,4/20/02,JAX,CLE,2002,3,76,0,FowlMe20,Melvin Fowler
722,2002,4/20/02,JAX,WAS,2002,3,79,0,BaumRa20,Rashad Bauman
722,2002,4/20/02,WAS,JAX,2002,3,89,0,AyodAk20,Akin Ayodele
722,2002,4/20/02,WAS,JAX,2002,4,118,0,LuzaCh00,Chris Luzar
723,2002,4/20/02,BAL,DEN,2002,3,96,0,DaviDo23,Dorsett Davis
723,2002,4/20/02,DEN,BAL,2002,4,112,0,ZastDa20,Dave Zastudil
723,2002,4/20/02,DEN,BAL,2002,5,155,0,JoneTe00,Terry Jones
724,2002,4/21/02,ATL,HOU,2003,3,88,0,RagoDa00,Dave Ragone
724,2002,4/21/02,HOU,ATL,2002,4,116,0,BiblMa20,Martin Bibla
725,2002,4/21/02,DEN,NE,2002,4,117,0,DaveRo01,Rohan Davey
725,2002,4/21/02,NE,DEN,2002,4,131,0,BranSa20,Sam Brandon
725,2002,4/21/02,NE,DEN,2002,5,144,0,HaygHe20,Herb Haygood
726,2002,4/21/02,CLE,OAK,2002,5,147,0,ColeKe20,Kenyon Coleman
726,2002,4/21/02,CLE,OAK,2002,6,189,0,NashKe21,Keyon Nash
726,2002,4/21/02,OAK,CLE,2002,4,122,0,SandDa00,Darnell Sanders
727,2002,4/21/02,DAL,NE,2002,7,237,0,NA,NA
727,2002,4/21/02,DAL,NE,NA,NA,NA,NA,NA,Antwoine Womack
727,2002,4/21/02,DAL,NE,2003,5,140,0,PageDe20,Derek Pagel
727,2002,4/21/02,NE,DAL,2002,5,168,0,HuntPe20,Pete Hunter
728,2002,4/22/02,BUF,NE,2003,1,14,0,HaynMi20,Michael Haynes
728,2002,4/22/02,NE,BUF,NA,NA,NA,NA,BledDr00,Drew Bledsoe
729,2002,4/23/02,NYJ,TB,NA,NA,NA,NA,NA,David Leaverton
729,2002,4/23/02,TB,NYJ,NA,NA,NA,NA,NA,Jonathan Pittman
730,2002,6/13/02,MIA,SF,NA,NA,NA,NA,McNoCa00,Cade McNown
730,2002,6/13/02,SF,MIA,2003,NA,NA,1,NA,NA
731,2002,6/20/02,JAX,SEA,2003,NA,NA,1,NA,NA
731,2002,6/20/02,SEA,JAX,NA,NA,NA,NA,CharIk20,Ike Charlton
732,2002,6/27/02,NE,STL,NA,NA,NA,NA,AyixKo20,Kole Ayi
732,2002,6/27/02,STL,NE,2003,NA,NA,1,NA,NA
733,2002,7/19/02,CAR,MIA,NA,NA,NA,NA,WillJa26,Jay Williams
733,2002,7/19/02,MIA,CAR,NA,NA,NA,NA,WallAl20,Al Wallace
733,2002,7/19/02,MIA,CAR,2003,4,119,0,BranCo20,Colin Branch
734,2002,8/20/02,MIA,TB,NA,NA,NA,NA,GreeCo20,Cornell Green
734,2002,8/20/02,TB,MIA,2003,7,247,1,NA,NA
734,2002,8/20/02,TB,MIA,NA,NA,NA,NA,NA,Casey Moore
735,2002,8/20/02,NE,STL,NA,NA,NA,NA,WillGr20,Grant Williams
735,2002,8/20/02,STL,NE,2003,7,225,0,WillTo21,Todd Williams
736,2002,8/23/02,MIA,WAS,2003,7,232,0,HamdGi00,Gibran Hamdan
736,2002,8/23/02,WAS,MIA,NA,NA,NA,NA,RoseSa00,Sage Rosenfels
737,2002,8/23/02,DET,WAS,NA,NA,NA,NA,StaiBr20,Brenden Stai
737,2002,8/23/02,WAS,DET,2003,5,144,0,DaviJa24,James Davis
738,2002,8/31/02,CIN,NO,NA,NA,NA,NA,KeatCu00,Curtis Keaton
738,2002,8/31/02,NO,CIN,2003,4,118,0,JohnJe00,Jeremi Johnson
739,2002,8/31/02,CLE,SD,2003,7,236,1,NA,NA
739,2002,8/31/02,CLE,SD,NA,NA,NA,NA,NA,Brandon Drumm
739,2002,8/31/02,SD,CLE,NA,NA,NA,NA,HeidSt00,Steve Heiden
740,2002,8/31/02,PIT,STL,NA,NA,NA,NA,EdwaTr00,Troy Edwards
740,2002,8/31/02,STL,PIT,2004,6,194,0,KranMa00,Matt Kranchick
741,2002,9/1/02,IND,NO,2003,7,239,0,BantTu20,Tully Banta-Cain
741,2002,9/1/02,NO,IND,NA,NA,NA,NA,WillRi01,Ricky Williams
742,2002,9/1/02,ATL,SD,2004,7,209,0,OlivSh20,Shane Olivea
742,2002,9/1/02,SD,ATL,NA,NA,NA,NA,GaylTr00,Trevor Gaylor
743,2002,9/24/02,IND,TB,2004,7,228,0,CramCa00,Casey Cramer
743,2002,9/24/02,TB,IND,NA,NA,NA,NA,GibsDa20,David Gibson
744,2002,10/12/02,DAL,SD,NA,NA,NA,NA,GarmKe20,Kelvin Garmon
744,2002,10/12/02,SD,DAL,2003,7,236,1,NA,NA
744,2002,10/12/02,SD,DAL,NA,NA,NA,NA,NA,Bron Drumm
645,2003,2/28/03,BUF,CLE,2004,NA,NA,1,NA,NA
645,2003,2/28/03,CLE,BUF,NA,NA,NA,NA,CampMa00,Mark Campbell
646,2003,2/28/03,DAL,GB,2004,6,188,0,LeexAn20,Andy Lee
646,2003,2/28/03,GB,DAL,NA,NA,NA,NA,GlenTe00,Terry Glenn
647,2003,2/28/03,STL,WAS,NA,NA,NA,NA,CaniTr00,Trung Canidate
647,2003,2/28/03,WAS,STL,NA,NA,NA,NA,LoveDa20,David Loverne
647,2003,2/28/03,WAS,STL,2003,4,107,0,GrocDe20,DeJuan Groce
648,2003,3/3/03,GB,PHI,2003,2,62,0,KielTe20,Terrence Kiel
648,2003,3/3/03,PHI,GB,NA,NA,NA,NA,HarrAl21,Al Harris
648,2003,3/3/03,PHI,GB,2003,4,127,0,AikeSa00,Sam Aiken
649,2003,3/4/03,ATL,PHI,NA,NA,NA,NA,SimoMa20,Mark Simoneau
649,2003,3/4/03,PHI,ATL,2003,6,202,0,BacoWa20,Waine Bacon
649,2003,3/4/03,PHI,ATL,2004,4,125,0,DaviJa20,Jason David
650,2003,3/6/03,HOU,NE,2003,5,154,0,NickDo20,Donnie Nickey
650,2003,3/6/03,NE,HOU,NA,NA,NA,NA,RandGr20,Greg Randall
651,2003,3/6/03,NE,WAS,2003,3,81,0,DockDe20,Derrick Dockery
651,2003,3/6/03,NE,WAS,2003,5,140,0,PageDe20,Derek Pagel
651,2003,3/6/03,WAS,NE,2003,3,75,0,WandSe20,Seth Wand
651,2003,3/6/03,WAS,NE,2004,4,104,0,SopoIs20,Isaac Sopoaga
652,2003,3/7/03,ATL,BUF,2003,1,23,0,McGaWi00,Willis McGahee
652,2003,3/7/03,BUF,ATL,NA,NA,NA,NA,PricPe00,Peerless Price
653,2003,3/13/03,MIN,NO,NA,NA,NA,NA,BoumTo00,Todd Bouman
653,2003,3/13/03,NO,MIN,2003,6,190,0,NattMi20,Mike Nattiel
654,2003,3/25/03,NO,STL,NA,NA,NA,NA,TurlKy20,Kyle Turley
654,2003,3/25/03,STL,NO,2004,2,60,0,WatsCo20,Courtney Watson
655,2003,4/1/03,GB,WAS,2004,7,NA,1,NA,NA
655,2003,4/1/03,WAS,GB,NA,NA,NA,NA,BranDa22,David Brandt
656,2003,4/10/03,ATL,SEA,NA,NA,NA,NA,ThomMi20,Michael Thompson
656,2003,4/10/03,SEA,ATL,2004,NA,NA,1,NA,NA
657,2003,4/14/03,NE,NO,NA,NA,NA,NA,JoneTe20,Tebucky Jones
657,2003,4/14/03,NO,NE,2003,3,78,0,SmitWa21,Wade Smith
657,2003,4/14/03,NO,NE,2003,7,239,0,BantTu20,Tully Banta-Cain
657,2003,4/14/03,NO,NE,2004,4,113,0,ReidDe20,Dexter Reid
658,2003,4/16/03,MIA,SD,2004,5,154,0,TurnMi00,Michael Turner
658,2003,4/16/03,SD,MIA,NA,NA,NA,NA,SeauJu00,Junior Seau
659,2003,4/24/03,GB,KC,2005,7,238,1,NA,NA
659,2003,4/24/03,GB,KC,NA,NA,NA,NA,NA,Jeremy Parquet
659,2003,4/24/03,KC,GB,NA,NA,NA,NA,CombDe20,Derek Combs
660,2003,4/25/03,MIA,NE,2004,2,56,0,WillMa20,Madieu Williams
660,2003,4/25/03,NE,MIA,2003,3,78,0,SmitWa21,Wade Smith
661,2003,4/26/03,CHI,NYJ,2003,1,4,0,RobeDe20,Dewayne Robertson
661,2003,4/26/03,NYJ,CHI,2003,1,13,0,WarrTy20,Ty Warren
