league_id,player,player_id,season,season_position
1,Sean Landeta,3,2006,P
1,John Carney,5,2006,K
1,Jeff Feagles,8,2006,P
1,Junior Seau,10,2006,LB
1,Ricky Proehl,11,2006,WR
1,Matt Stover,12,2006,K
1,Ted Washington,13,2006,DI
1,Brett Favre,14,2006,QB
1,Keith Traylor,15,2006,DI
1,Chris Gardocki,16,2006,P
1,John Kasay,17,2006,K
1,Fred McAfee,18,2006,HB
1,Keenan McCardell,19,2006,WR
1,Troy Vincent,21,2006,S
1,Bob Whitfield,22,2006,T
1,Jason Hanson,28,2006,K
1,Dave Moore,30,2006,TE
1,Brad Johnson,31,2006,QB
1,Kendall Gammon,33,2006,ST
1,Drew Bledsoe,36,2006,QB
1,Michael Strahan,40,2006,ED
1,Chad Brown,41,2006,ED
1,Jason Elam,44,2006,K
1,Will Shields,45,2006,G
1,John Lynch,46,2006,S
1,Lorenzo Neal,47,2006,FB
1,Mark Brunell,51,2006,QB
1,Chris Gray,52,2006,G
1,Jeff Zgonina,55,2006,DI
1,Troy Brown,56,2006,WR
1,Craig Hentrich,57,2006,P
1,Trent Green,58,2006,QB
1,Mike Bartrum,59,2006,TE
1,Rob Davis,61,2006,LS
1,Brian Kozlowski,62,2006,TE
1,Jamie Martin,63,2006,QB
1,Shane Matthews,64,2006,QB
1,Josh Miller,65,2006,P
1,Mack Strong,66,2006,FB
1,Robbie Tobeck,67,2006,C
1,Matt Turk,68,2006,P
1,Dan Wilkinson,69,2006,DI
1,Willie McGinest,71,2006,ED
1,Trent Dilfer,72,2006,QB
1,Bryant Young,73,2006,DI
1,Sam Adams,74,2006,DI
1,Aaron Glenn,75,2006,CB
1,Wayne Gandy,76,2006,T
1,Todd Steussie,78,2006,G
1,Isaac Bruce,80,2006,WR
1,Kevin Mawae,81,2006,C
1,Larry Allen,84,2006,G
1,Rich Braham,86,2006,C
1,Rodney Harrison,89,2006,S
1,Kimo von Oelhoffen,90,2006,DI
1,Gus Frerotte,93,2006,QB
1,Keith Burns,94,2006,LB
1,Tom Nalen,95,2006,C
1,Ethan Albright,96,2006,LS
1,Jay Bellamy,99,2006,S
1,David Binn,101,2006,LS
1,Robert Griffith,104,2006,S
1,Bobby Hamilton,105,2006,DI
1,Tyoka Jackson,106,2006,DI
1,Andy McCollum,107,2006,C
1,Shelton Quarles,108,2006,LB
1,Tony Richardson,110,2006,FB
1,Rod Smith,111,2006,WR
1,Kurt Warner,112,2006,QB
1,Jeff Wilkins,113,2006,K
1,Steve McNair,114,2006,QB
1,Kerry Collins,115,2006,QB
1,Kevin Carter,116,2006,ED
1,Joey Galloway,117,2006,WR
1,Kyle Brady,118,2006,TE
1,Warren Sapp,119,2006,DI
1,Ruben Brown,120,2006,G
1,Tyrone Poole,123,2006,CB
1,Ty Law,124,2006,CB
1,Mark Bruener,125,2006,TE
1,Derrick Brooks,126,2006,LB
1,Zach Wiegert,129,2006,T
1,Christian Fauria,130,2006,TE
1,Todd Collins,131,2006,QB
1,Todd Sauerbrun,132,2006,P
1,William Henderson,134,2006,FB
1,Zack Crockett,136,2006,FB
1,Jason Kyle,139,2006,ST
1,Cory Schlesinger,141,2006,FB
1,Fred McCrary,142,2006,FB
1,Adam Timmerman,144,2006,G
1,Jason Fisk,145,2006,DI
1,Don Davis,147,2006,LB
1,Kelly Holcomb,148,2006,QB
1,Ryan Kuehl,149,2006,LS
1,Joe Nedney,150,2006,K
1,Marcus Pollard,151,2006,TE
1,Willie Whitehead,152,2006,DI
1,Keyshawn Johnson,153,2006,WR
1,Simeon Rice,154,2006,ED
1,Jonathan Ogden,155,2006,T
1,Terry Glenn,156,2006,WR
1,Willie Anderson,158,2006,T
1,Walt Harris,159,2006,CB
1,Eddie Kennison,161,2006,WR
1,Marvin Harrison,162,2006,WR
1,Pete Kendall,163,2006,G
1,Jeff Hartings,164,2006,C
1,Eric Moulds,165,2006,WR
1,Ray Lewis,167,2006,LB
1,Amani Toomer,169,2006,WR
1,Mike Alstott,170,2006,FB
1,Lawyer Milloy,171,2006,S
1,Muhsin Muhammad,173,2006,WR
1,Tory James,174,2006,CB
1,Fred Thomas,175,2006,CB
1,Randall Godfrey,176,2006,LB
1,Bobby Engram,177,2006,WR
1,Jason Dunn,178,2006,TE
1,Lance Johnstone,179,2006,ED
1,Ernie Conwell,180,2006,TE
1,Brian Dawkins,181,2006,S
1,Ray Mickens,182,2006,CB
1,Roman Oben,183,2006,T
1,Tedy Bruschi,187,2006,LB
1,Terrell Owens,188,2006,WR
1,Mike Flanagan,189,2006,C
1,Donnie Edwards,190,2006,LB
1,Phillip Daniels,191,2006,ED
1,Stephen Davis,192,2006,HB
1,Jon Runyan Sr.,193,2006,T
1,Juran Bolden,196,2006,CB
1,Marcus Coleman,198,2006,S
1,Joe Horn,199,2006,WR
1,Fred Miller,200,2006,T
1,Chris Villarrial,202,2006,G
1,Zach Thomas,203,2006,LB
1,La'Roi Glover,204,2006,DI
1,Orpheus Roye,206,2006,DI
1,Marco Rivera,207,2006,G
1,Carlos Emmons,209,2006,LB
1,Nick Ferguson,210,2006,S
1,Chris Hetherington,214,2006,FB
1,Damon Huard,215,2006,QB
1,Larry Izzo,216,2006,LB
1,Jon Kitna,217,2006,QB
1,Olindo Mare,218,2006,K
1,David Patten,221,2006,WR
1,Scott Player,222,2006,P
1,Barry Stokes,224,2006,T
1,Hollis Thomas,225,2006,DI
1,Adam Vinatieri,226,2006,K
1,Casey Wiegmann,227,2006,C
1,Orlando Pace,229,2006,T
